Response ID,Time Started,Date Submitted,Status,Legacy Comments,Comments,Language,Referer,SessionID,User Agent,Tags,URL Variable: appid,URL Variable: context,URL Variable: contextid,URL Variable: deviceid,URL Variable: playerid,link_url,"This survey may include unpublished game content which will be shared with you confidentially.¬†By choosing to participate in the survey, you agree to keep secret all such content and to not use such content for any purpose outside this survey. You agree to do so until we have published the content in the game.","Like:We are now going to show you the description again below and we would like you to highlight the Words or phrases that you particularly like or dislike. Click on the green ‚ÄúLike‚Äù option to highlight the statements you like, and click on the red ‚ÄúDislike‚Äù option to highlight the statements that you dislike.¬†Please also provide a comment to explain your answer. Once you‚Äôve finished highlighting, click the Save button. ¬†","Dislike:We are now going to show you the description again below and we would like you to highlight the Words or phrases that you particularly like or dislike. Click on the green ‚ÄúLike‚Äù option to highlight the statements you like, and click on the red ‚ÄúDislike‚Äù option to highlight the statements that you dislike.¬†Please also provide a comment to explain your answer. Once you‚Äôve finished highlighting, click the Save button. ¬†","I think I would have fun playing this new event:Based on the description of this new event, how much do you agree or disagree with the following statements? ¬†","This new event is too similar to other Angry Birds 2 events :Based on the description of this new event, how much do you agree or disagree with the following statements? ¬†","The new event is easy to understand:Based on the description of this new event, how much do you agree or disagree with the following statements? ¬†","I think I could progress further in Angry Birds 2 by participating in this event:Based on the description of this new event, how much do you agree or disagree with the following statements? ¬†","Having a set of objectives to achieve makes me feel motivated to play more:Based on the description of this new event, how much do you agree or disagree with the following statements? ¬†","Achieving these types of objectives isn‚Äôt worth my time :Based on the description of this new event, how much do you agree or disagree with the following statements? ¬†","Earning rewards by destroying structures makes me feel excited to play this event:Based on the description of this new event, how much do you agree or disagree with the following statements? ¬†","I like completing these types of objectives:Based on the description of this new event, how much do you agree or disagree with the following statements? ¬†",How appealing do you find this new event overall?,Please tell us why the new event doesn‚Äôt appeal to you.,How likely would you be to play the new event based on this description?,"Like:We are now going to show you the description again below and we would like you to highlight the Words or phrases that you particularly like or dislike. Click on the green ‚ÄúLike‚Äù option to highlight the statements you like, and click on the red ‚ÄúDislike‚Äù option to highlight the statements that you dislike.¬†Please also provide a comment to explain your answer. Once you‚Äôve finished highlighting, click the Save button. ¬†","Dislike:We are now going to show you the description again below and we would like you to highlight the Words or phrases that you particularly like or dislike. Click on the green ‚ÄúLike‚Äù option to highlight the statements you like, and click on the red ‚ÄúDislike‚Äù option to highlight the statements that you dislike.¬†Please also provide a comment to explain your answer. Once you‚Äôve finished highlighting, click the Save button. ¬†","I think I would have fun playing this new event:Based on the description of this new event, how much do you agree or disagree with the following statements? ¬†","This new event is too similar to other Angry Birds 2 events:Based on the description of this new event, how much do you agree or disagree with the following statements? ¬†","The new event is easy to understand:Based on the description of this new event, how much do you agree or disagree with the following statements? ¬†","I think I could progress further in Angry Birds 2 by participating in this event:Based on the description of this new event, how much do you agree or disagree with the following statements? ¬†","The grand prize being shared only among the winners makes me want to win:Based on the description of this new event, how much do you agree or disagree with the following statements? ¬†","The grand prize I would receive doesn‚Äôt motivate me to play:Based on the description of this new event, how much do you agree or disagree with the following statements? ¬†","I didn‚Äôt understand how the prize is shared among the players:Based on the description of this new event, how much do you agree or disagree with the following statements? ¬†","Playing in an event where only the winners get the prize makes me want to participate:Based on the description of this new event, how much do you agree or disagree with the following statements? ¬†",How appealing do you find this new event overall?,Please tell us why the new event doesn‚Äôt appeal to you.,How likely would you be to play the new event based on this description?,"<strong>Competition</strong> - Competing against other players:From the following list of statements, which are the 3 most important things you look for in Angry Birds 2?Please check all the answer options below. You can do this by scrolling down the page.","<strong>Community</strong> - Interacting with other players (teaming up, chatting, etc.):From the following list of statements, which are the 3 most important things you look for in Angry Birds 2?Please check all the answer options below. You can do this by scrolling down the page.","<strong>Challenge</strong> - Being Challenged, having to improve my skills to pass difficult levels or obstacles:From the following list of statements, which are the 3 most important things you look for in Angry Birds 2?Please check all the answer options below. You can do this by scrolling down the page.","<strong>Strategy</strong> - Using my brain, strategic decision-making, thinking and planning:From the following list of statements, which are the 3 most important things you look for in Angry Birds 2?Please check all the answer options below. You can do this by scrolling down the page.","<strong>Completion</strong> - Completing every mission or level, collecting everything (e.g.,characters, achievements):From the following list of statements, which are the 3 most important things you look for in Angry Birds 2?Please check all the answer options below. You can do this by scrolling down the page.","<strong>Power</strong> - Growing over time to become more Powerful (e.g. increasing stats, leveling up, unlocking abilities):From the following list of statements, which are the 3 most important things you look for in Angry Birds 2?Please check all the answer options below. You can do this by scrolling down the page.","<strong>Design</strong> - Expressing myself by customizing characters or decorating the game world:From the following list of statements, which are the 3 most important things you look for in Angry Birds 2?Please check all the answer options below. You can do this by scrolling down the page.","<strong>Discovery</strong> - Exploring, experimenting and discovering new worlds, characters and game elements:From the following list of statements, which are the 3 most important things you look for in Angry Birds 2?Please check all the answer options below. You can do this by scrolling down the page.","<strong>Story</strong> - An engaging Story and plot with interesting characters:From the following list of statements, which are the 3 most important things you look for in Angry Birds 2?Please check all the answer options below. You can do this by scrolling down the page.","<strong>Fantasy</strong> - Being immersed in a strong game Fantasy in a rich virtual world:From the following list of statements, which are the 3 most important things you look for in Angry Birds 2?Please check all the answer options below. You can do this by scrolling down the page.","<strong>Destruction</strong> - Destruction of obstacles, blowing things up and seeing huge explosions:From the following list of statements, which are the 3 most important things you look for in Angry Birds 2?Please check all the answer options below. You can do this by scrolling down the page.","<strong>Excitement</strong> - Exciting, fast-paced gameplay with constant thrills and Action:From the following list of statements, which are the 3 most important things you look for in Angry Birds 2?Please check all the answer options below. You can do this by scrolling down the page.","Other - please specify::From the following list of statements, which are the 3 most important things you look for in Angry Birds 2?Please check all the answer options below. You can do this by scrolling down the page.","Other - please specify::From the following list of statements, which are the 3 most important things you look for in Angry Birds 2?Please check all the answer options below. You can do this by scrolling down the page.","<strong>Action</strong> (e.g. Marvel: Contest of Champions, Brawl Stars, Subway Surfer):What are your top 3 favorite types of mobile games?Please check all the answer options below. You can do this by scrolling down the page.","<strong>Casino</strong> (e.g. Slotomania, Bingo Blitz, Coin Master, Zynga Poker):What are your top 3 favorite types of mobile games?Please check all the answer options below. You can do this by scrolling down the page.","<strong>Match</strong> (e.g. Homescapes, Candy Crush Saga, Merge Mansion, Toon Blast):What are your top 3 favorite types of mobile games?Please check all the answer options below. You can do this by scrolling down the page.","<strong>MOBA</strong> (e.g. Mobile Legends: Bang Bang, League of Legends: Wild Rift. Pok√©mon UNITE):What are your top 3 favorite types of mobile games?Please check all the answer options below. You can do this by scrolling down the page.","<strong>Music</strong> (e.g. BeatStars, Magic Tiles, Cytus, Deemo):What are your top 3 favorite types of mobile games?Please check all the answer options below. You can do this by scrolling down the page.","<strong>Puzzle</strong> (e.g. June's Journey, Tetris, Cut the Rope):What are your top 3 favorite types of mobile games?Please check all the answer options below. You can do this by scrolling down the page.","<strong>Racing</strong> (e.g. CSR Racing, Mario Kart Tour):What are your top 3 favorite types of mobile games?Please check all the answer options below. You can do this by scrolling down the page.","<strong>RPG</strong> (role playing games) (e.g. Genshin Impact, Cookie Run Kingdom, Pokemon Go):What are your top 3 favorite types of mobile games?Please check all the answer options below. You can do this by scrolling down the page.","<strong>Sandbox</strong> (e.g. Roblox, Minecraft):What are your top 3 favorite types of mobile games?Please check all the answer options below. You can do this by scrolling down the page.","<strong>Simulation</strong> (e.g. Township, Cooking Fever, Design Home):What are your top 3 favorite types of mobile games?Please check all the answer options below. You can do this by scrolling down the page.","<strong>Shooter</strong> (e.g. PUBG mobile, Call of Duty mobile, Free Fire):What are your top 3 favorite types of mobile games?Please check all the answer options below. You can do this by scrolling down the page.","<strong>Slingshot</strong> (e.g. Angry Bird 2, Angry Bird Friends):What are your top 3 favorite types of mobile games?Please check all the answer options below. You can do this by scrolling down the page.","<strong>Sports</strong> (e.g. Golf Clash, Madden NFL Mobile, FIFA football):What are your top 3 favorite types of mobile games?Please check all the answer options below. You can do this by scrolling down the page.","<strong>Strategy</strong> (e.g. Clash of Clans, Rise of Kingdoms, Lords Mobile, Clash Royale, Hearthstone):What are your top 3 favorite types of mobile games?Please check all the answer options below. You can do this by scrolling down the page.","<strong>Tabletop</strong> (digital adaptations of real life games e.g. Solitaire, Chess, Coloring):What are your top 3 favorite types of mobile games?Please check all the answer options below. You can do this by scrolling down the page.","<strong>Word Games</strong> (e.g. Wordscapes, Words With Friends):What are your top 3 favorite types of mobile games?Please check all the answer options below. You can do this by scrolling down the page.",Other - please specify::What are your top 3 favorite types of mobile games?Please check all the answer options below. You can do this by scrolling down the page.,Other - please specify::What are your top 3 favorite types of mobile games?Please check all the answer options below. You can do this by scrolling down the page.,You‚Äôre almost done! What is your age range?,What gender do you identify with?,Is there anything else you would like to inform us about?
27,27/08/2024 20:26:08,27/08/2024 20:33:24,Complete,,,English,,1724779568_66ce0c307939f9.63560795,,,Abba,ads,a6f2e26c-b0a9-4f8d-9fa1-985560d44d1c,%ﬁviceId%%,RCcd50c70c-c933-41fe-8e2b-75c748df0010,,"I agree, and understand the terms of this agreement and that any participation in the survey shall be deemed to constitute acceptance of the terms of this agreement.","""Complete all the objectives before the event is over and win the grand prize!¬†"": ",,Agree,Neutral,Agree,Strongly agree,Strongly agree,Disagree,Strongly agree,Strongly agree,Somewhat appealing,,Probably would,""" Play alongside other players and keep track of who is still in the game."": ","""Only the winners will share the grand prize."": ",Agree,Strongly disagree,Disagree,Agree,Strongly disagree,Neutral,Strongly agree,Strongly disagree,Somewhat appealing,,Might,,,,,,Power,Design,,Story,,,,,,Action,,,,,,,,,,Shooter,Slingshot,,,,,,,18 - 24,Male,
45,27/08/2024 20:47:22,27/08/2024 21:10:34,Complete,,,English,,1724780842_66ce112abf8194.39855616,,,Abba,ads,a6f2e26c-b0a9-4f8d-9fa1-985560d44d1c,%ﬁviceId%%,RC47ef4456-6d3f-4dc3-9210-fe086ce788f7,,"I agree, and understand the terms of this agreement and that any participation in the survey shall be deemed to constitute acceptance of the terms of this agreement.","""Your first objective will appear at the start of your game, so you know what to collect and how to plan your moves."": i like the way that i can learn to move ",,Agree,Neutral,Strongly agree,Agree,Agree,Disagree,Agree,Agree,Somewhat appealing,,Probably would,"""Players who complete all 7 levels will win an equal share of the grand prize, such as rainbow feathers, gems or black pearls."": ",,Strongly agree,Neutral,Strongly agree,Agree,Agree,Disagree,Strongly disagree,Agree,Somewhat appealing,,Probably would,,,Challenge,Strategy,,,,Discovery,,,,,,,,,,MOBA,,,,,Sandbox,,,,,Strategy,,,,,18 - 24,Male,i like all you do for this game :D
51,27/08/2024 20:52:09,27/08/2024 21:05:39,Complete,,,English,,1724781129_66ce12497777f3.96441068,,,Abba,ads,a6f2e26c-b0a9-4f8d-9fa1-985560d44d1c,%ﬁviceId%%,RCcb45dc4b-3872-4963-b02f-cf6d19b9cd92,,"I agree, and understand the terms of this agreement and that any participation in the survey shall be deemed to constitute acceptance of the terms of this agreement.","""Your first objective will appear at the start of your game, so you know what to collect and how to plan your moves."": Helps alleviate confusion","""last 2 days,"": Too short",Strongly agree,Neutral,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Extremely appealing,,Definitely would,"""you will be part of a group of players who are attempting to complete 7 World Map Saga levels and win the grand prize!"": Teamwork",,Strongly agree,Neutral,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Disagree,Strongly agree,Extremely appealing,,Definitely would,,Community,,,,Power,,,,,,Excitement,,,,Casino,,,,,,,,,Shooter,,,,,Word,,,18 - 24,Male,No
59,27/08/2024 21:30:58,27/08/2024 21:39:07,Complete,,,English,,1724783458_66ce1b62876027.70306778,,,Abba,ads,a6f2e26c-b0a9-4f8d-9fa1-985560d44d1c,%ﬁviceId%%,RCd1b98331-dfb9-4d63-847e-0c2de426e4bc,,"I agree, and understand the terms of this agreement and that any participation in the survey shall be deemed to constitute acceptance of the terms of this agreement.","""feathers for your birds,"": Feathers are dope  Feathers are dope  ",,Strongly agree,Disagree,Agree,Strongly agree,Agree,Disagree,Strongly agree,Strongly agree,Extremely appealing,,Definitely would,"""3 extra birds"": Love birds",,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Disagree,Agree,Extremely appealing,,Definitely would,,,Challenge,,Completion,Power,,,,,,,,,,,,MOBA,,,,,Sandbox,,,Slingshot,,,,,,,18 - 24,Male,No
60,27/08/2024 21:09:17,27/08/2024 21:37:02,Complete,,,English,,1724782157_66ce164daec010.34043584,,,Abba,ads,a6f2e26c-b0a9-4f8d-9fa1-985560d44d1c,%ﬁviceId%%,RC71d38cae-1b0d-4d0e-b392-619d07f1f914,,"I agree, and understand the terms of this agreement and that any participation in the survey shall be deemed to constitute acceptance of the terms of this agreement.","""In this new time-limited event that will last 2 days, your mission is to complete a set of objectives and earn rewards that make you more Powerful. Complete all the objectives before the event is over and win the grand prize!¬†    During the event, you will be given a set of objectives where you have to destroy structures, collect materials and pop pigs in World Map Saga levels. Your first objective will appear at the start of your game, so you know what to collect and how to plan your moves. For example, collect 20 wooden blocks by destroying the wooden structures.¬†    Rewards will be either feathers for your birds, or time-based rewards such as extra energy or spells to supercharge your skills for the next 15 minutes. Once you achieve an objective a new one will appear. You can then use your new reward to help complete the next objective.¬†As you progress, the objectives will get more intense and you will earn bigger rewards."": ",,Strongly agree,Neutral,Agree,Agree,Agree,Disagree,Agree,Agree,Extremely appealing,,Definitely would,"""In this new time-limited event, you will be part of a group of players who are attempting to complete 7 World Map Saga levels and win the grand prize!  Play alongside other players and keep track of who is still in the game. Players who complete all 7 levels will win an equal share of the grand prize, such as rainbow feathers, gems or black pearls.  Players who lose a Saga level are out of the Competition until the next time the event is available. If you are about to lose a Saga level you have a chance to get up to 3 extra birds to continue playing. Only the winners will share the grand prize."": ",,Disagree,Neutral,Neutral,Neutral,Agree,Neutral,Agree,Neutral,Neutral,,Might,,,Challenge,Strategy,Completion,,,,,,,,,,,,,,,,,,,Simulation,Shooter,,,Strategy,,,,,18 - 24,Male,
65,27/08/2024 21:36:47,27/08/2024 21:45:23,Complete,,,English,,1724783807_66ce1cbf10f057.50294405,,,Abba,ads,a6f2e26c-b0a9-4f8d-9fa1-985560d44d1c,%ﬁviceId%%,RC1f362cbf-1c1e-4772-bb7e-6ffd39b46d46,,"I agree, and understand the terms of this agreement and that any participation in the survey shall be deemed to constitute acceptance of the terms of this agreement.",""" Rewards will be either feathers for your birds,"": ",,Agree,Disagree,Agree,Agree,Agree,Disagree,Agree,Agree,Somewhat appealing,,Definitely would,,"""Only the winners will share the grand prize."": Not good",Disagree,Neutral,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Not very appealing,Not enough prizes,Probably would not,,,,Strategy,Completion,,,,,,Destruction,,,,,,,,,,,RPG,,,Shooter,,,Strategy,,,,,18 - 24,Male,
69,27/08/2024 21:41:38,27/08/2024 22:05:53,Complete,,,English,,1724784098_66ce1de22c4199.94753850,,,Abba,ads,a6f2e26c-b0a9-4f8d-9fa1-985560d44d1c,%ﬁviceId%%,RC239d3116-6e6a-444b-a929-c7c7a42129a3,,"I agree, and understand the terms of this agreement and that any participation in the survey shall be deemed to constitute acceptance of the terms of this agreement.","""grand prize!¬†"": ÊàëÂñúÊ¨¢Â§ßÂ•ñ",,Neutral,Disagree,Agree,Neutral,Neutral,Disagree,Neutral,Neutral,Somewhat appealing,,Probably would,"""you will be part of a group of players who are attempting to complete 7 World Map Saga levels and win the grand prize!"": Âõ¢ÈòüÂêà‰ΩúÊØîËæÉÊúâË∂£",""" Players who lose a Saga level are out of the Competition until the next time the event is available."": Â§™‰∏•Ê†º‰∫ÜÊàêÂäüÂá†ÁéáÂ∞è",Agree,Neutral,Neutral,Neutral,Strongly disagree,Neutral,Neutral,Strongly disagree,Somewhat appealing,,Probably would,,Community,,,Completion,,,,,Fantasy,,,,,,,,,,Puzzle,,,,,,Slingshot,,,,,Other,p‚ÄÜv‚ÄÜz,18 - 24,Female,Chinese player want to play without vpn.
74,27/08/2024 21:46:25,27/08/2024 21:59:15,Complete,,,English,,1724784385_66ce1f01a782e2.79771438,,,Abba,ads,a6f2e26c-b0a9-4f8d-9fa1-985560d44d1c,%ﬁviceId%%,RC79299b9e-b10a-4aa0-aac7-0e9666c27ff8,,"I agree, and understand the terms of this agreement and that any participation in the survey shall be deemed to constitute acceptance of the terms of this agreement.",""" During the event, you will be given a set of objectives where you have to destroy structures, collect materials and pop pigs in World Map Saga levels."": Fantastic idea, I was thinking something like this should be implemented recently ","""2 days,"": Feel it will be too short, longer time will make players have time to finish it, and so you can make better rewards",Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Extremely appealing,,Definitely would,"""prize."": Sounds like a fantastic idea",,Agree,Strongly disagree,Strongly agree,Agree,Strongly agree,Neutral,Strongly disagree,Agree,Extremely appealing,,Definitely would,,,Challenge,Strategy,,,,,,,Destruction,,,,,,,,,,,,Sandbox,,,Slingshot,,Strategy,,,,,18 - 24,Male,
110,27/08/2024 22:41:39,27/08/2024 23:08:03,Complete,,,English,,1724787699_66ce2bf31b28b1.21083203,,,Abba,ads,a6f2e26c-b0a9-4f8d-9fa1-985560d44d1c,%ﬁviceId%%,RC30bc5f17-522e-4674-ab39-f55208177c5b,,"I agree, and understand the terms of this agreement and that any participation in the survey shall be deemed to constitute acceptance of the terms of this agreement.",""" During the event, you will be given a set of objectives where you have to destroy structures, collect materials and pop pigs in World Map Saga levels. Your first objective will appear at the start of your game, so you know what to collect and how to plan your moves. For example, collect 20 wooden blocks by destroying the wooden structures.¬†  "": Good too get some returning players",,Strongly agree,Disagree,Agree,Strongly agree,Agree,Neutral,Agree,Strongly agree,Somewhat appealing,,Probably would,"""In this new time-limited event, you will be part of a group of players who are attempting to complete 7 World Map Saga levels and win the grand prize!  Play alongside other players and keep track of who is still in the game. Players who complete all 7 levels will win an equal share of the grand prize, such as rainbow feathers, gems or black pearls.  Players who lose a Saga level are out of the Competition until the next time the event is available. If you are about to lose a Saga level you have a chance to get up to 3 extra birds to continue playing. Only the winners will share the"": It is a good idea because even new players have a chance of winning if they have the gems for it",,Agree,Neutral,Agree,Neutral,Strongly agree,Neutral,Strongly agree,Agree,Somewhat appealing,,Might,Competition,,Challenge,Strategy,,,,,,,,,,,,,,,,,,RPG,,,Shooter,Slingshot,,,,,,,18 - 24,Male,Events like these should be occurring more than they are. 
135,27/08/2024 23:23:59,27/08/2024 23:41:33,Complete,,,English,,1724790239_66ce35df0267e7.72779983,,,Abba,ads,a6f2e26c-b0a9-4f8d-9fa1-985560d44d1c,%ﬁviceId%%,RCedf59925-ad7e-4996-b2ae-32a0912ddeca,,"I agree, and understand the terms of this agreement and that any participation in the survey shall be deemed to constitute acceptance of the terms of this agreement.",,"""energy"": I would rather have black pearls or gems than energy.",Agree,Neutral,Strongly agree,Agree,Neutral,Neutral,Agree,Agree,Somewhat appealing,,Probably would,,"""extra"": I don't like it being pay to win ",Agree,Disagree,Disagree,Agree,Agree,Neutral,Disagree,Neutral,Neutral,,Probably would,,Community,,Strategy,,Power,,,,,,,,,,,,,,,,,Sandbox,,Shooter,Slingshot,,,,,,,18 - 24,Male,I just wouldn't let people play on multiple times. 
